integrand,action
\int_{0}^{1}\cos{2*x}dx,7
\int_{0}^{1}\frac{x}{x+1}dx,3
\int_{0}^{1}{2*x}^{4}*\sqrt[2]{x^2}+\tan{x+1}*\sqrt[3]{2*x}dx,1
\int_{0}^{1}\cos{x+1}dx,7
\int_{0}^{1}\sqrt[3]{x+1}dx,7
\int_{0}^{1}\sqrt[2]{x+1}dx,7
\int_{0}^{1}\frac{1}{2*x}*\sqrt[2]{2*x}dx,7
\int_{0}^{1}\sqrt[3]{x^2}+\sqrt[3]{x+1}*\frac{x+1}{2*x}dx,1
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}{x}^{4}dx,1
\int_{0}^{1}2*x*\cos{x^2}dx,7
\int_{0}^{1}\tan{2*x}dx,7
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}+{x+1}^{3}dx,1
\int_{0}^{1}\frac{x+1}{x^2}dx,3
\int_{0}^{1}\frac{x^2}{x^2}+\tan{x^2}*\cos{x^2}dx,1
\int_{0}^{1}{x}^{4}dx,0
\int_{0}^{1}\cos{2*x}dx,7
\int_{0}^{1}\tan{x}dx,0
\int_{0}^{1}\sin{2*x}dx,7
\int_{0}^{1}{x+1}^{4}+{2*x}^{3}dx,1
\int_{0}^{1}\frac{x^2}{2*x}dx,3
\int_{0}^{1}\sqrt[3]{x+1}dx,7
\int_{0}^{1}\sqrt[3]{x+1}*\cos{2*x}dx,8
\int_{0}^{1}\tan{x^2}*{2*x}dx,8
\int_{0}^{1}{x}^{2}+\frac{x+1}{x^2}dx,1
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\frac{x^2}{2*x}+\frac{2*x}{x^2}dx,1
\int_{0}^{1}\cos{x+1}dx,7
\int_{0}^{1}\frac{x+1}{x}+\tan{x+1}dx,1
\int_{0}^{1}{2*x}^{2}dx,6
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,7
\int_{0}^{1}{x}^{4}dx,0
\int_{0}^{1}{x}^{3}dx,0
\int_{0}^{1}\tan{x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}dx,7
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\tan{x}*\sqrt[3]{x}+\sqrt[2]{x^2}dx,1
\int_{0}^{1}\sqrt[3]{x+1}dx,7
\int_{0}^{1}\sin{2*x}dx,7
\int_{0}^{1}\sin{x}dx,0
\int_{0}^{1}{x+1}^{2}dx,4
\int_{0}^{1}\sqrt[3]{x+1}dx,7
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,7
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\frac{x}{x}+\cos{2*x}dx,1
\int_{0}^{1}\sqrt[3]{2*x}+\sqrt[2]{x}dx,1
\int_{0}^{1}\frac{x+1}{x^2}+\sqrt[3]{x^2}dx,1
\int_{0}^{1}\sin{x}dx,0
\int_{0}^{1}{x}^{3}dx,0
\int_{0}^{1}{x+1}^{3}dx,7
\int_{0}^{1}\frac{x}{x+1}+\frac{x+1}{x}dx,1
\int_{0}^{1}\frac{x+1}{x}dx,3
\int_{0}^{1}\sin{2*x}dx,7
\int_{0}^{1}\frac{2*x}{x+1}dx,3
\int_{0}^{1}\frac{x+1}{x^2}dx,3
\int_{0}^{1}\tan{x+1}dx,7
\int_{0}^{1}{2*x}^{4}dx,6
\int_{0}^{1}{x+1}^{2}+\frac{x^2}{x}dx,1
\int_{0}^{1}{2*x}^{2}dx,6
\int_{0}^{1}\sqrt[3]{2*x}dx,7
\int_{0}^{1}\sqrt[3]{x+1}dx,7
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\sqrt[2]{2*x}+\frac{2*x}{x}dx,1
\int_{0}^{1}{x^2}^{4}dx,0
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}\cos{2*x}dx,7
\int_{0}^{1}{2*x}^{3}dx,6
\int_{0}^{1}\frac{x+1}{2*x}dx,3
\int_{0}^{1}\sqrt[2]{x+1}dx,7
\int_{0}^{1}{x+1}^{2}dx,6
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}\frac{x^2}{x^2}dx,0
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}\frac{x}{x^2}dx,0
\int_{0}^{1}\sqrt[2]{x}+\sin{x^2}dx,1
\int_{0}^{1}\sqrt[3]{x+1}dx,7
\int_{0}^{1}{x+1}^{2}dx,6
\int_{0}^{1}\frac{x}{x+1}dx,3
\int_{0}^{1}\tan{x^2}*x+x*\sqrt[2]{2*x}dx,1
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\sin{2*x}dx,7
\int_{0}^{1}\frac{2*x}{x+1}dx,3
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}{x^2}^{4}*\cos{x}dx,7
\int_{0}^{1}{x}^{4}dx,0
\int_{0}^{1}{2*x}^{2}dx,6
\int_{0}^{1}{x+1}^{3}dx,7
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}\frac{2*x}{x+1}+\frac{x+1}{x}dx,1
\int_{0}^{1}\frac{x}{x+1}dx,3
\int_{0}^{1}{x^2}^{2}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,7
\int_{0}^{1}{x^2}^{3}+\sqrt[3]{x}dx,1
\int_{0}^{1}\sqrt[2]{x+1}*\frac{x+1}{2*x}+\tan{2*x}dx,1
\int_{0}^{1}\frac{2*x}{x+1}+{x^2}^{2}+\sin{x+1}dx,1
\int_{0}^{1}\tan{x}dx,0
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\sin{x^2}+\cos{x}dx,1
\int_{0}^{1}{x^2}^{3}dx,0
\int_{0}^{1}\sqrt[3]{x^2}+{x+1}^{2}dx,1
\int_{0}^{1}\frac{2*x}{x+1}dx,3
\int_{0}^{1}\sin{2*x}+\frac{x^2}{2*x}dx,1
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\sqrt[3]{x+1}dx,7
\int_{0}^{1}\frac{x}{x+1}dx,3
\int_{0}^{1}\tan{2*x}dx,7
\int_{0}^{1}{x+1}^{3}dx,7
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,7
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}{x+1}^{3}dx,7
\int_{0}^{1}\frac{x+1}{x}dx,3
\int_{0}^{1}{x+1}^{2}dx,6
\int_{0}^{1}{x}^{3}dx,0
\int_{0}^{1}P{\sin{x}}^{2}dx,6
\int_{0}^{1}2*\sin{x}*\cos{2}dx,6
\int_{0}^{1}\sqrt[2]{x+1}dx,7
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}\sin{2*x}dx,7
\int_{0}^{1}{x}^{4}dx,0
\int_{0}^{1}\sqrt[3]{x+1}dx,7
\int_{0}^{1}{2*x}^{3}dx,6
\int_{0}^{1}\frac{x+1}{x^2}dx,3
\int_{0}^{1}{x+1}^{2}dx,6
\int_{0}^{1}{x}^{3}*\sin{2*x}dx,8
\int_{0}^{1}\sqrt[2]{2*x}dx,7
\int_{0}^{1}\sqrt[3]{x+1}+\tan{x+1}dx,1
\int_{0}^{1}{2*x}^{3}dx,6
\int_{0}^{1}\sqrt[2]{2*x}+\tan{x+1}dx,1
\int_{0}^{1}\frac{x+1}{2*x}dx,3
\int_{0}^{1}{2*x}^{3}dx,6
\int_{0}^{1}\sqrt[2]{x}*\cos{x}dx,8
\int_{0}^{1}\sqrt[3]{x^2}+\frac{x^2}{x^2}+\sqrt[3]{2*x}dx,1
\int_{0}^{1}\sqrt[2]{x}+\frac{x+1}{x}dx,1
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,7
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,7
\int_{0}^{1}\sqrt[2]{x+1}dx,7
\int_{0}^{1}\sin{x+1}dx,7
\int_{0}^{1}\tan{x+1}dx,7
\int_{0}^{1}\tan{2*x}dx,7
\int_{0}^{1}x*e^{x}dx,8
\int_{0}^{1}x*e^{2*x}dx,8
\int_{0}^{1}(x+1)*e^{x}dx,8
\int_{1}^{2}(x-1)*e^{x}dx,8
\int_{0}^{1}{x}^{2}*e^{x}dx,8
\int_{0}^{1}x*e^{-x}dx,8
\int_{0}^{1}(2*x+1)*e^{x}dx,8
\int_{0}^{1}x*e^{\frac{x}{2}}dx,8
\int_{1}^{2}2*x*e^{-2*x}dx,8
\int_{0}^{1}(3*x-2)*e^{x}dx,8
\int_{0}^{1}x*\sin{x}dx,8
\int_{0}^{1}(x+1)*\sin{x}dx,8
\int_{0}^{1}x*\cos{x}dx,8
\int_{0}^{1}(2*x-1)*\cos{x}dx,8
\int_{0}^{1}x*\cos{2*x}dx,8
\int_{0}^{1}(x+2)*\sin{2*x}dx,8
\int_{0}^{1}{x}^{2}*\sin{x}dx,8
\int_{0}^{1}{x}^{2}*\cos{x}dx,8
\int_{1}^{2}3*x*\sin{x}dx,8
\int_{0}^{1}(x+3)*\cos{3*x}dx,8
\int_{1}^{2}\ln{x}dx,8
\int_{1}^{2}x*\ln{x}dx,8
\int_{1}^{2}{x}^{2}*\ln{x}dx,8
\int_{1}^{2}\ln{2*x}dx,8
\int_{1}^{2}(x+1)*\ln{x}dx,8
\int_{1}^{2}\ln{x+1}dx,8
\int_{1}^{2}\frac{\ln{x}}{{x}^{2}}dx,8
\int_{1}^{2}x*\ln{2*x}dx,8
\int_{1}^{2}(2*x-1)*\ln{x}dx,8
\int_{1}^{2}\sqrt{x}*\ln{x}dx,8
\int_{0}^{1}e^{x}*\sin{x}dx,8
\int_{0}^{1}e^{2*x}*\cos{x}dx,8
\int_{0}^{1}e^{-x}*\sin{2*x}dx,8
\int_{0}^{1}e^{x}*\cos{2*x}dx,8
\int_{0}^{1}e^{3*x}*\sin{3*x}dx,8
\int_{0}^{1}e^{\frac{x}{2}}*\cos{x}dx,8
\int_{0}^{1}e^{-2*x}*\cos{2*x}dx,8
\int_{0}^{1}e^{x}*\sin{3*x}dx,8
\int_{0}^{1}e^{-\frac{x}{2}}*\sin{x}dx,8
\int_{0}^{1}e^{4*x}*\cos{4*x}dx,8
\int_{1}^{e}{(\ln{x})}^{2}dx,8
\int_{1}^{e}x*{(\ln{x})}^{2}dx,8
\int_{0}^{1}{x}^{3}*e^{x^2}dx,8
\int_{1}^{2}x*\ln{x^2}dx,8
\int_{1}^{e}{(\ln{x})}^{3}dx,8
\int_{0}^{\frac{\pi}{2}}{x}^{2}*\cos{x}dx,8
\int_{0}^{1}(x+1)*e^{-x}dx,8
\int_{0}^{1}x*e^{3*x}dx,8
\int_{0}^{\pi}x*{\sin{x}}^{2}dx,8
\int_{0}^{1}{x}^{2}*\cos{2*x}dx,8
\int_{0}^{1}\sqrt[2]{x+1}dx,7
\int_{0}^{1}\sqrt[2]{x+1}dx,0
\int_{0}^{1}\tan{x^2}*\cos{2*x}+\frac{x+1}{x^2}dx,0
\int_{0}^{1}{x+1}^{3}dx,0
\int_{0}^{1}\sin{2*x}dx,0
\int_{0}^{1}\frac{2*x}{2*x}dx,0
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}\frac{x}{2*x}dx,0
\int_{0}^{1}\cos{x+1}+\frac{x+1}{x^2}*x+1*x+1dx,0
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}\frac{2*x}{x^2}dx,0
\int_{0}^{1}\tan{x}dx,0
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\frac{x}{x+1}dx,0
\int_{0}^{1}{x+1}^{2}*{x+1}^{4}dx,0
\int_{0}^{1}\frac{x+1}{2*x}dx,0
\int_{0}^{1}x+2*x+\tan{x+1}+\tan{x^2}dx,0
\int_{0}^{1}\cos{x^2}dx,0
\int_{0}^{1}{x+1}^{4}dx,0
\int_{0}^{1}\sin{x^2}dx,0
\int_{0}^{1}\frac{2*x}{x^2}dx,0
\int_{0}^{1}x*x*\sqrt[3]{x+1}*\frac{x}{x^2}dx,0
\int_{0}^{1}\cos{x+1}+\tan{2*x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}dx,0
\int_{0}^{1}\frac{x+1}{2*x}dx,0
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}\sqrt[3]{x}+\frac{2*x}{x}dx,0
\int_{0}^{1}\tan{x}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,0
\int_{0}^{1}{x^2}^{4}dx,0
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}+{x^2}^{3}dx,0
\int_{0}^{1}{x^2}^{3}dx,0
\int_{0}^{1}\sin{x+1}dx,0
\int_{0}^{1}\tan{2*x}dx,0
\int_{0}^{1}{x}^{3}*\frac{2*x}{x+1}dx,0
\int_{0}^{1}\sqrt[3]{2*x}*{x}^{3}*{x+1}^{2}dx,0
\int_{0}^{1}{2*x}^{4}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,0
\int_{0}^{1}{x}^{2}+{x+1}^{3}dx,0
\int_{0}^{1}{x+1}^{3}dx,0
\int_{0}^{1}{x^2}^{2}dx,0
\int_{0}^{1}{x^2}^{2}dx,0
\int_{0}^{1}{x+1}^{3}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,0
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}\sqrt[3]{x^2}*\tan{2*x}dx,0
\int_{0}^{1}{x^2}^{4}dx,0
\int_{0}^{1}\cos{x}*\sin{x^2}*2*x+x^2dx,0
\int_{0}^{1}{x}^{4}*\frac{x^2}{x}dx,0
\int_{0}^{1}\sqrt[2]{2*x}+\frac{x+1}{x+1}+x^2+x+1dx,0
\int_{0}^{1}\sin{x+1}dx,0
\int_{0}^{1}\frac{x}{x}dx,0
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}\cos{2*x}*x*x+1*\tan{2*x}dx,0
\int_{0}^{1}{2*x}^{3}dx,0
\int_{0}^{1}\sqrt[2]{x^2}+{x+1}^{2}*2*x*x+1dx,0
\int_{0}^{1}\frac{x+1}{2*x}dx,0
\int_{0}^{1}{x}^{3}dx,0
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\tan{x}+\sqrt[2]{x}dx,0
\int_{0}^{1}\cos{x+1}+\frac{x+1}{x}dx,0
\int_{0}^{1}\tan{x}dx,0
\int_{0}^{1}{2*x}^{3}*x^2+2*x*\sin{x+1}dx,0
\int_{0}^{1}\sin{x}dx,0
\int_{0}^{1}{x+1}^{2}+2*x+x^2+\frac{x^2}{2*x}dx,0
\int_{0}^{1}{x+1}^{3}dx,0
\int_{0}^{1}\tan{x^2}dx,0
\int_{0}^{1}\tan{2*x}dx,0
\int_{0}^{1}\tan{x^2}dx,0
\int_{0}^{1}\frac{2*x}{x+1}dx,0
\int_{0}^{1}\cos{x+1}dx,0
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}\cos{x+1}dx,0
\int_{0}^{1}\sin{x}dx,0
\int_{0}^{1}\cos{x^2}dx,0
\int_{0}^{1}x^2+2*x*\frac{x^2}{x+1}+\frac{x^2}{x}dx,0
\int_{0}^{1}\frac{2*x}{x}dx,0
\int_{0}^{1}\cos{x+1}dx,0
\int_{0}^{1}{x}^{4}dx,0
\int_{0}^{1}\frac{x}{x}dx,0
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}\sqrt[3]{x+1}dx,0
\int_{0}^{1}\frac{x^2}{x+1}dx,0
\int_{0}^{1}\cos{x+1}*\frac{x}{x+1}dx,0
\int_{0}^{1}\frac{x+1}{x}dx,0
\int_{0}^{1}\frac{x+1}{x+1}*\sin{x^2}+\tan{x+1}*{x}^{3}dx,0
\int_{0}^{1}{2*x}^{4}*\frac{x}{x+1}+\tan{2*x}dx,0
\int_{0}^{1}{x}^{4}dx,0
\int_{0}^{1}\frac{x}{2*x}dx,0
\int_{0}^{1}\sin{2*x}*{x^2}^{4}dx,0
\int_{0}^{1}\frac{2*x}{x+1}dx,0
\int_{0}^{1}\frac{x+1}{x^2}dx,0
\int_{0}^{1}{x^2}^{4}dx,0
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}\frac{x^2}{2*x}*x+1*x+\sqrt[2]{2*x}dx,0
\int_{0}^{1}\tan{x^2}*\frac{2*x}{x+1}+\cos{2*x}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\frac{2*x}{x}dx,0
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}\cos{x^2}+\cos{x^2}+2*x*x^2*{x^2}^{3}dx,0
\int_{0}^{1}{x^2}^{3}dx,0
\int_{0}^{1}{x^2}^{4}dx,0
\int_{0}^{1}\cos{x+1}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\sin{x}+\cos{x}dx,0
\int_{0}^{1}\frac{x^2}{x^2}dx,0
\int_{0}^{1}\sqrt[2]{x}+{2*x}^{2}*{x^2}^{2}dx,0
\int_{0}^{1}\frac{x+1}{x}*\frac{x}{2*x}dx,0
\int_{0}^{1}\sin{x+1}dx,0
\int_{0}^{1}{x^2}^{2}*x^2+x+\tan{2*x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}*\sqrt[2]{2*x}dx,0
\int_{0}^{1}\cos{2*x}dx,0
\int_{0}^{1}{2*x}^{3}+x+x+1+\sin{x+1}dx,0
\int_{0}^{1}{x^2}^{3}dx,0
\int_{0}^{1}\frac{x^2}{x}*x^2*2*x*\tan{2*x}dx,0
\int_{0}^{1}{2*x}^{3}dx,0
\int_{0}^{1}\tan{2*x}+\sqrt[3]{x^2}dx,0
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\tan{x^2}*\sqrt[3]{x+1}dx,0
\int_{0}^{1}{2*x}^{4}+\sqrt[2]{2*x}*\frac{x+1}{x+1}dx,0
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\sqrt[3]{x}dx,0
\int_{0}^{1}\frac{x}{2*x}dx,0
\int_{0}^{1}\frac{x}{2*x}*\cos{x^2}dx,0
\int_{0}^{1}{2*x}^{3}+\tan{2*x}dx,0
\int_{0}^{1}\frac{x+1}{x^2}dx,0
\int_{0}^{1}\sin{2*x}dx,0
\int_{0}^{1}\frac{x}{x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}*\sqrt[3]{2*x}dx,0
\int_{0}^{1}\frac{x^2}{2*x}*2*x+x^2+\frac{x^2}{x}dx,0
\int_{0}^{1}\tan{x^2}dx,0
\int_{0}^{1}\sqrt[3]{x^2}+\frac{2*x}{x+1}dx,0
\int_{0}^{1}\cos{x^2}dx,0
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}x+1+x+{x^2}^{4}+{2*x}^{4}dx,0
\int_{0}^{1}\frac{x}{x^2}dx,0
\int_{0}^{1}\sin{x+1}dx,0
\int_{0}^{1}\tan{2*x}dx,0
\int_{0}^{1}x+1*x^2+x+1+2*x+2*x+x*\sin{x^2}dx,0
\int_{0}^{1}\sqrt[3]{x+1}*2*x*x+1+\frac{x}{x^2}dx,0
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\frac{x^2}{x+1}dx,0
\int_{0}^{1}{x+1}^{4}dx,0
\int_{0}^{1}\frac{x^2}{2*x}dx,0
\int_{0}^{1}\frac{x+1}{x}dx,0
\int_{0}^{1}\frac{x}{x}dx,0
\int_{0}^{1}{x^2}^{2}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,0
\int_{0}^{1}x+x^2*\frac{x}{x+1}*\sqrt[2]{2*x}dx,0
\int_{0}^{1}\tan{x^2}dx,0
\int_{0}^{1}{2*x}^{2}dx,0
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\tan{x^2}dx,0
\int_{0}^{1}\sin{x}dx,0
\int_{0}^{1}x+1*x+1*\cos{x^2}+\sqrt[3]{x}*\sin{2*x}dx,0
\int_{0}^{1}\frac{x+1}{2*x}*2*x+x*\frac{x+1}{x^2}*2*x*2*xdx,0
\int_{0}^{1}\tan{x^2}dx,0
\int_{0}^{1}{2*x}^{3}+\frac{x}{x^2}dx,0
\int_{0}^{1}{2*x}^{3}*{x^2}^{4}*\cos{x}dx,0
\int_{0}^{1}\sin{x^2}dx,0
\int_{0}^{1}\sqrt[2]{x+1}dx,0
\int_{0}^{1}\cos{2*x}dx,0
\int_{0}^{1}\frac{x}{x+1}+{x}^{2}+\sin{x^2}*\sin{2*x}dx,0
\int_{0}^{1}\frac{x+1}{x+1}*\sin{2*x}dx,0
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}{x^2}^{3}+\sqrt[2]{x^2}dx,0
\int_{0}^{1}\frac{2*x}{2*x}dx,0
\int_{0}^{1}{2*x}^{3}dx,0
\int_{0}^{1}\frac{x+1}{2*x}dx,0
\int_{0}^{1}{2*x}^{3}dx,0
\int_{0}^{1}\sin{x}dx,0
\int_{0}^{1}{2*x}^{3}dx,0
\int_{0}^{1}\sqrt[2]{x}+2*x*x+1*{2*x}^{3}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\frac{x+1}{x}dx,0
\int_{0}^{1}\tan{2*x}*\cos{2*x}dx,0
\int_{0}^{1}x*x^2*\cos{x+1}*\sqrt[2]{x^2}*x+1*2*xdx,0
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\frac{x+1}{x^2}dx,0
\int_{0}^{1}2*x*2*x+\frac{x}{x+1}*{2*x}^{3}dx,0
\int_{0}^{1}\sqrt[2]{x+1}dx,0
\int_{0}^{1}\frac{x+1}{x}dx,0
\int_{0}^{1}\frac{x+1}{x^2}dx,0
\int_{0}^{1}\tan{x^2}dx,0
\int_{0}^{1}x+1*x+1*\tan{x^2}+\sqrt[3]{2*x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}*\sqrt[3]{2*x}dx,0
\int_{0}^{1}\sqrt[3]{x}*\sin{x^2}dx,0
\int_{0}^{1}{2*x}^{2}+\frac{2*x}{x^2}dx,0
\int_{0}^{1}{2*x}^{4}dx,0
\int_{0}^{1}\sin{x+1}+\sqrt[2]{x+1}*{2*x}^{4}dx,0
\int_{0}^{1}\frac{2*x}{2*x}dx,0
\int_{0}^{1}\sqrt[3]{x+1}dx,0
\int_{0}^{1}\sqrt[2]{x+1}dx,0
\int_{0}^{1}{x^2}^{2}dx,0
\int_{0}^{1}\tan{2*x}dx,0
\int_{0}^{1}\frac{x}{x}+2*x*x^2*\sqrt[2]{x^2}dx,0
\int_{0}^{1}\sqrt[3]{x^2}*\frac{x+1}{x^2}*x^2+2*x*x^2+2*xdx,0
\int_{0}^{1}\sqrt[3]{x+1}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,0
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}{2*x}^{4}dx,0
\int_{0}^{1}\frac{x^2}{x+1}dx,0
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\sqrt[2]{x}*{x^2}^{3}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\frac{x+1}{x^2}*\sqrt[2]{x+1}dx,0
\int_{0}^{1}\sqrt[2]{x^2}+\sin{x^2}*x+xdx,0
\int_{0}^{1}\tan{x}dx,0
\int_{0}^{1}\sin{x+1}+{x+1}^{2}dx,0
\int_{0}^{1}{x}^{4}+\sqrt[2]{x+1}+\frac{2*x}{2*x}dx,0
\int_{0}^{1}{x^2}^{4}dx,0
\int_{0}^{1}\sqrt[3]{x^2}*\sin{x}*{x}^{4}dx,0
\int_{0}^{1}\frac{x+1}{x+1}*\frac{x}{2*x}dx,0
\int_{0}^{1}{2*x}^{4}dx,0
\int_{0}^{1}{x^2}^{4}dx,0
\int_{0}^{1}\cos{2*x}*{x}^{3}*\sqrt[2]{x}dx,0
\int_{0}^{1}\frac{x+1}{2*x}+\sqrt[2]{x^2}dx,0
\int_{0}^{1}{x^2}^{4}*\cos{x^2}+{x+1}^{3}dx,0
\int_{0}^{1}{x}^{2}*\sqrt[2]{x}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,0
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}{x^2}^{2}dx,0
\int_{0}^{1}{x+1}^{3}dx,0
\int_{0}^{1}\frac{x+1}{2*x}+\cos{2*x}*\tan{2*x}dx,0
\int_{0}^{1}\frac{x^2}{2*x}dx,0
\int_{0}^{1}\sqrt[3]{x}dx,0
\int_{0}^{1}\sqrt[3]{x+1}dx,0
\int_{0}^{1}\tan{x+1}dx,0
