integrand,action
\int_{0}^{1}\frac{x}{x+1}dx,3
\int_{0}^{1}{2*x}^{4}*\sqrt[2]{x^2}+\tan{x+1}*\sqrt[3]{2*x}dx,1
\int_{0}^{1}\cos{x+1}dx,7
\int_{0}^{1}\sqrt[3]{x+1}dx,7
\int_{0}^{1}\sqrt[2]{x+1}dx,7
\int_{0}^{1}\frac{1}{2*x}*\sqrt[2]{2*x}dx,7
\int_{0}^{1}\sqrt[3]{x^2}+\sqrt[3]{x+1}*\frac{x+1}{2*x}dx,1
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}{x}^{4}dx,1
\int_{0}^{1}2*x*\cos{x^2}dx,7
\int_{0}^{1}\tan{2*x}dx,7
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}+{x+1}^{3}dx,1
\int_{0}^{1}\frac{x+1}{x^2}dx,3
\int_{0}^{1}\frac{x^2}{x^2}+\tan{x^2}*\cos{x^2}dx,1
\int_{0}^{1}\cos{2*x}dx,7
\int_{0}^{1}\tan{x}dx,0
\int_{0}^{1}\sin{2*x}dx,7
\int_{0}^{1}{x+1}^{4}+{2*x}^{3}dx,1
\int_{0}^{1}\frac{x^2}{2*x}dx,3
\int_{0}^{1}\sqrt[3]{x+1}dx,7
\int_{0}^{1}\sqrt[3]{x+1}*\cos{2*x}dx,8
\int_{0}^{1}\tan{x^2}*{2*x}dx,8
\int_{0}^{1}{x}^{2}+\frac{x+1}{x^2}dx,1
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\frac{x^2}{2*x}+\frac{2*x}{x^2}dx,1
\int_{0}^{1}\cos{x+1}dx,7
\int_{0}^{1}\frac{x+1}{x}+\tan{x+1}dx,1
\int_{0}^{1}{2*x}^{2}dx,6
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,7
\int_{0}^{1}\tan{x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}dx,7
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\tan{x}*\sqrt[3]{x}+\sqrt[2]{x^2}dx,1
\int_{0}^{1}\sqrt[3]{x+1}dx,7
\int_{0}^{1}\sin{2*x}dx,7
\int_{0}^{1}\sin{x}dx,0
\int_{0}^{1}{x+1}^{2}dx,4
\int_{0}^{1}\sqrt[3]{x+1}dx,7
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,7
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\frac{x}{x}+\cos{2*x}dx,1
\int_{0}^{1}\sqrt[3]{2*x}+\sqrt[2]{x}dx,1
\int_{0}^{1}\frac{x+1}{x^2}+\sqrt[3]{x^2}dx,1
\int_{0}^{1}\sin{x}dx,0
\int_{0}^{1}{x+1}^{3}dx,7
\int_{0}^{1}\frac{x}{x+1}+\frac{x+1}{x}dx,1
\int_{0}^{1}\frac{x+1}{x}dx,3
\int_{0}^{1}\sin{2*x}dx,7
\int_{0}^{1}\frac{2*x}{x+1}dx,3
\int_{0}^{1}\frac{x+1}{x^2}dx,3
\int_{0}^{1}\tan{x+1}dx,7
\int_{0}^{1}{2*x}^{4}dx,6
\int_{0}^{1}{x+1}^{2}+\frac{x^2}{x}dx,1
\int_{0}^{1}{2*x}^{2}dx,6
\int_{0}^{1}\sqrt[3]{2*x}dx,7
\int_{0}^{1}\sqrt[3]{x+1}dx,7
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\sqrt[2]{2*x}+\frac{2*x}{x}dx,1
\int_{0}^{1}{x^2}^{4}dx,0
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}\cos{2*x}dx,7
\int_{0}^{1}{2*x}^{3}dx,6
\int_{0}^{1}\frac{x+1}{2*x}dx,3
\int_{0}^{1}\sqrt[2]{x+1}dx,7
\int_{0}^{1}{x+1}^{2}dx,6
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}\frac{x^2}{x^2}dx,0
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}\frac{x}{x^2}dx,0
\int_{0}^{1}\sqrt[2]{x}+\sin{x^2}dx,1
\int_{0}^{1}\sqrt[3]{x+1}dx,7
\int_{0}^{1}{x+1}^{2}dx,6
\int_{0}^{1}\frac{x}{x+1}dx,3
\int_{0}^{1}\tan{x^2}*x+x*\sqrt[2]{2*x}dx,1
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\sin{2*x}dx,7
\int_{0}^{1}\frac{2*x}{x+1}dx,3
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}{x^2}^{4}*\cos{x}dx,7
\int_{0}^{1}{2*x}^{2}dx,6
\int_{0}^{1}{x+1}^{3}dx,7
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}\frac{2*x}{x+1}+\frac{x+1}{x}dx,1
\int_{0}^{1}\frac{x}{x+1}dx,3
\int_{0}^{1}{x^2}^{2}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,7
\int_{0}^{1}{x^2}^{3}+\sqrt[3]{x}dx,1
\int_{0}^{1}\sqrt[2]{x+1}*\frac{x+1}{2*x}+\tan{2*x}dx,1
\int_{0}^{1}\frac{2*x}{x+1}+{x^2}^{2}+\sin{x+1}dx,1
\int_{0}^{1}\tan{x}dx,0
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\sin{x^2}+\cos{x}dx,1
\int_{0}^{1}{x^2}^{3}dx,0
\int_{0}^{1}\sqrt[3]{x^2}+{x+1}^{2}dx,1
\int_{0}^{1}\frac{2*x}{x+1}dx,3
\int_{0}^{1}\sin{2*x}+\frac{x^2}{2*x}dx,1
\int_{0}^{1}\sqrt[2]{x^2}dx,0
\int_{0}^{1}\sqrt[3]{x+1}dx,7
\int_{0}^{1}\frac{x}{x+1}dx,3
\int_{0}^{1}\tan{2*x}dx,7
\int_{0}^{1}{x+1}^{3}dx,7
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,7
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}{x+1}^{3}dx,7
\int_{0}^{1}\frac{x+1}{x}dx,3
\int_{0}^{1}{x+1}^{2}dx,6
\int_{0}^{1}P{\sin{x}}^{2}dx,6
\int_{0}^{1}2*\sin{x}*\cos{2}dx,6
\int_{0}^{1}\sqrt[2]{x+1}dx,7
\int_{0}^{1}\cos{x}dx,0
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}\sin{2*x}dx,7
\int_{0}^{1}\sqrt[3]{x+1}dx,7
\int_{0}^{1}{2*x}^{3}dx,6
\int_{0}^{1}\frac{x+1}{x^2}dx,3
\int_{0}^{1}{x+1}^{2}dx,6
\int_{0}^{1}{x}^{3}*\sin{2*x}dx,8
\int_{0}^{1}\sqrt[2]{2*x}dx,7
\int_{0}^{1}\sqrt[3]{x+1}+\tan{x+1}dx,1
\int_{0}^{1}{2*x}^{3}dx,6
\int_{0}^{1}\sqrt[2]{2*x}+\tan{x+1}dx,1
\int_{0}^{1}\frac{x+1}{2*x}dx,3
\int_{0}^{1}{2*x}^{3}dx,6
\int_{0}^{1}\sqrt[2]{x}*\cos{x}dx,8
\int_{0}^{1}\sqrt[3]{x^2}+\frac{x^2}{x^2}+\sqrt[3]{2*x}dx,1
\int_{0}^{1}\sqrt[2]{x}+\frac{x+1}{x}dx,1
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}{x}^{2}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,7
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,7
\int_{0}^{1}\sqrt[2]{x+1}dx,7
\int_{0}^{1}\sin{x+1}dx,7
\int_{0}^{1}\tan{x+1}dx,7
\int_{0}^{1}\tan{2*x}dx,7
\int_{0}^{1}x*e^{x}dx,8
\int_{0}^{1}x*e^{2*x}dx,8
\int_{0}^{1}(x+1)*e^{x}dx,8
\int_{1}^{2}(x-1)*e^{x}dx,8
\int_{0}^{1}{x}^{2}*e^{x}dx,8
\int_{0}^{1}x*e^{-x}dx,8
\int_{0}^{1}(2*x+1)*e^{x}dx,8
\int_{0}^{1}x*e^{\frac{x}{2}}dx,8
\int_{1}^{2}2*x*e^{-2*x}dx,8
\int_{0}^{1}(3*x-2)*e^{x}dx,8
\int_{0}^{1}x*\sin{x}dx,8
\int_{0}^{1}(x+1)*\sin{x}dx,8
\int_{0}^{1}x*\cos{x}dx,8
\int_{0}^{1}(2*x-1)*\cos{x}dx,8
\int_{0}^{1}x*\cos{2*x}dx,8
\int_{0}^{1}(x+2)*\sin{2*x}dx,8
\int_{0}^{1}{x}^{2}*\sin{x}dx,8
\int_{0}^{1}{x}^{2}*\cos{x}dx,8
\int_{1}^{2}3*x*\sin{x}dx,8
\int_{0}^{1}(x+3)*\cos{3*x}dx,8
\int_{1}^{2}\ln{x}dx,8
\int_{1}^{2}x*\ln{x}dx,8
\int_{1}^{2}{x}^{2}*\ln{x}dx,8
\int_{1}^{2}\ln{2*x}dx,8
\int_{1}^{2}(x+1)*\ln{x}dx,8
\int_{1}^{2}\ln{x+1}dx,8
\int_{1}^{2}\frac{\ln{x}}{{x}^{2}}dx,8
\int_{1}^{2}x*\ln{2*x}dx,8
\int_{1}^{2}(2*x-1)*\ln{x}dx,8
\int_{1}^{2}\sqrt{x}*\ln{x}dx,8
\int_{0}^{1}e^{x}*\sin{x}dx,8
\int_{0}^{1}e^{2*x}*\cos{x}dx,8
\int_{0}^{1}e^{-x}*\sin{2*x}dx,8
\int_{0}^{1}e^{x}*\cos{2*x}dx,8
\int_{0}^{1}e^{3*x}*\sin{3*x}dx,8
\int_{0}^{1}e^{\frac{x}{2}}*\cos{x}dx,8
\int_{0}^{1}e^{-2*x}*\cos{2*x}dx,8
\int_{0}^{1}e^{x}*\sin{3*x}dx,8
\int_{0}^{1}e^{-\frac{x}{2}}*\sin{x}dx,8
\int_{0}^{1}e^{4*x}*\cos{4*x}dx,8
\int_{1}^{e}{(\ln{x})}^{2}dx,8
\int_{1}^{e}x*{(\ln{x})}^{2}dx,8
\int_{0}^{1}{x}^{3}*e^{x^2}dx,8
\int_{1}^{2}x*\ln{x^2}dx,8
\int_{1}^{e}{(\ln{x})}^{3}dx,8
\int_{0}^{\frac{\pi}{2}}{x}^{2}*\cos{x}dx,8
\int_{0}^{1}(x+1)*e^{-x}dx,8
\int_{0}^{1}x*e^{3*x}dx,8
\int_{0}^{\pi}x*{\sin{x}}^{2}dx,8
\int_{0}^{1}{x}^{2}*\cos{2*x}dx,8
\int_{0}^{1}\sqrt[2]{x+1}dx,7
\int_{0}^{1}\sin(2*x+1)dx,7
\int_{0}^{1}\cos(3*x+2)dx,7
\int_{0}^{1}\sqrt[2]{4*x+3}dx,7
\int_{0}^{1}\sqrt[3]{5*x+4}dx,7
\int_{0}^{1}{6*x+5}^{2}dx,7
\int_{0}^{1}{7*x+6}^{3}dx,7
\int_{0}^{1}\sin(8*x+7)dx,7
\int_{0}^{1}\cos(2*x+8)dx,7
\int_{0}^{1}\sqrt[2]{3*x+9}dx,7
\int_{0}^{1}\sqrt[3]{4*x+1}dx,7
\int_{0}^{1}{5*x+2}^{2}dx,7
\int_{0}^{1}{6*x+3}^{3}dx,7
\int_{0}^{1}\sin(7*x+4)dx,7
\int_{0}^{1}\cos(8*x+5)dx,7
\int_{0}^{1}\sqrt[2]{2*x+6}dx,7
\int_{0}^{1}\sqrt[3]{3*x+7}dx,7
\int_{0}^{1}{4*x+8}^{2}dx,7
\int_{0}^{1}{5*x+9}^{3}dx,7
\int_{0}^{1}\sin(6*x+1)dx,7
\int_{0}^{1}\cos(7*x+2)dx,7
\int_{0}^{1}\sqrt[2]{8*x+3}dx,7
\int_{0}^{1}\sqrt[3]{2*x+4}dx,7
\int_{0}^{1}{3*x+5}^{2}dx,7
\int_{0}^{1}{4*x+6}^{3}dx,7
\int_{0}^{1}\sin(5*x+7)dx,7
\int_{0}^{1}\cos(6*x+8)dx,7
\int_{0}^{1}\sqrt[2]{7*x+9}dx,7
\int_{0}^{1}\sqrt[3]{8*x+1}dx,7
\int_{0}^{1}{2*x+2}^{2}dx,7
\int_{0}^{1}{3*x+3}^{3}dx,7
\int_{0}^{1}\sin(4*x+4)dx,7
\int_{0}^{1}\cos(5*x+5)dx,7
\int_{0}^{1}\sqrt[2]{6*x+6}dx,7
\int_{0}^{1}\sqrt[3]{7*x+7}dx,7
\int_{0}^{1}{8*x+8}^{2}dx,7
\int_{0}^{1}{2*x+9}^{3}dx,7
\int_{0}^{1}\sin(3*x+1)dx,7
\int_{0}^{1}\cos(4*x+2)dx,7
\int_{0}^{1}\sqrt[2]{5*x+3}dx,7
\int_{0}^{1}\sqrt[3]{6*x+4}dx,7
\int_{0}^{1}{7*x+5}^{2}dx,7
\int_{0}^{1}{8*x+6}^{3}dx,7
\int_{0}^{1}\sin(2*x+7)dx,7
\int_{0}^{1}\cos(3*x+8)dx,7
\int_{0}^{1}\sqrt[2]{4*x+9}dx,7
\int_{0}^{1}\sqrt[3]{5*x+1}dx,7
\int_{0}^{1}{6*x+2}^{2}dx,7
\int_{0}^{1}{7*x+3}^{3}dx,7
\int_{0}^{1}\sin(8*x+4)dx,7
\int_{0}^{1}\cos(2*x+5)dx,7
\int_{0}^{1}\sqrt[2]{3*x+6}dx,7
\int_{0}^{1}\sqrt[3]{4*x+7}dx,7
\int_{0}^{1}{5*x+8}^{2}dx,7
\int_{0}^{1}{6*x+9}^{3}dx,7
\int_{0}^{1}\sin(7*x+1)dx,7
\int_{0}^{1}\cos(8*x+2)dx,7
\int_{0}^{1}\sqrt[2]{2*x+3}dx,7
\int_{0}^{1}\sqrt[3]{3*x+4}dx,7
\int_{0}^{1}{4*x+5}^{2}dx,7
\int_{0}^{1}{5*x+6}^{3}dx,7
\int_{0}^{1}\sin(6*x+7)dx,7
\int_{0}^{1}\cos(7*x+8)dx,7
\int_{0}^{1}\sqrt[2]{8*x+9}dx,7
\int_{0}^{1}\sqrt[3]{2*x+1}dx,7
\int_{0}^{1}{3*x+2}^{2}dx,7
\int_{0}^{1}{4*x+3}^{3}dx,7
\int_{0}^{1}\sin(5*x+4)dx,7
\int_{0}^{1}\cos(6*x+5)dx,7
\int_{0}^{1}\sqrt[2]{7*x+6}dx,7
\int_{0}^{1}\sqrt[3]{8*x+7}dx,7
\int_{0}^{1}{2*x+8}^{2}dx,7
\int_{0}^{1}{3*x+9}^{3}dx,7
\int_{0}^{1}\sin(4*x+1)dx,7
\int_{0}^{1}\cos(5*x+2)dx,7
\int_{0}^{1}\sqrt[2]{6*x+3}dx,7
\int_{0}^{1}\sqrt[3]{7*x+4}dx,7
\int_{0}^{1}{8*x+5}^{2}dx,7
\int_{0}^{1}{2*x+6}^{3}dx,7
\int_{0}^{1}\sin(3*x+7)dx,7
\int_{0}^{1}\cos(4*x+8)dx,7
\int_{0}^{1}\sqrt[2]{5*x+9}dx,7
\int_{0}^{1}\sqrt[3]{6*x+1}dx,7
\int_{0}^{1}{7*x+2}^{2}dx,7
\int_{0}^{1}{8*x+3}^{3}dx,7
\int_{0}^{1}\sin(2*x+4)dx,7
\int_{0}^{1}\cos(3*x+5)dx,7
\int_{0}^{1}\sqrt[2]{4*x+6}dx,7
\int_{0}^{1}\sqrt[3]{5*x+7}dx,7
\int_{0}^{1}{6*x+8}^{2}dx,7
\int_{0}^{1}{7*x+9}^{3}dx,7
\int_{0}^{1}\sin(8*x+1)dx,7
\int_{0}^{1}\cos(2*x+2)dx,7
\int_{0}^{1}\sqrt[2]{3*x+3}dx,7
\int_{0}^{1}\sqrt[3]{4*x+4}dx,7
\int_{0}^{1}{5*x+5}^{2}dx,7
\int_{0}^{1}{6*x+6}^{3}dx,7
\int_{0}^{1}\sin(7*x+7)dx,7
\int_{0}^{1}\cos(8*x+8)dx,7
\int_{0}^{1}\sqrt[2]{2*x+9}dx,7
\int_{0}^{1}\sqrt[3]{3*x+1}dx,7
\int_{0}^{1}{4*x+2}^{2}dx,7
\int_{0}^{1}{5*x+3}^{3}dx,7
\int_{0}^{1}\sin(6*x+4)dx,7
\int_{0}^{1}\cos(7*x+5)dx,7
\int_{0}^{1}\sqrt[2]{8*x+6}dx,7
\int_{0}^{1}\sqrt[3]{2*x+7}dx,7
\int_{0}^{1}{3*x+8}^{2}dx,7
\int_{0}^{1}{4*x+9}^{3}dx,7
\int_{0}^{1}\sin(5*x+1)dx,7
\int_{0}^{1}\cos(6*x+2)dx,7
\int_{0}^{1}\sqrt[2]{7*x+3}dx,7
\int_{0}^{1}\sqrt[3]{8*x+4}dx,7
\int_{0}^{1}{2*x+5}^{2}dx,7
\int_{0}^{1}{3*x+6}^{3}dx,7
\int_{0}^{1}\sin(4*x+7)dx,7
\int_{0}^{1}\cos(5*x+8)dx,7
\int_{0}^{1}\sqrt[2]{6*x+9}dx,7
\int_{0}^{1}\sqrt[3]{7*x+1}dx,7
\int_{0}^{1}{8*x+2}^{2}dx,7
\int_{0}^{1}{2*x+3}^{3}dx,7
\int_{0}^{1}\sin(3*x+4)dx,7
\int_{0}^{1}\cos(4*x+5)dx,7
\int_{0}^{1}\sqrt[2]{5*x+6}dx,7
\int_{0}^{1}\sqrt[3]{6*x+7}dx,7
\int_{0}^{1}{7*x+8}^{2}dx,7
\int_{0}^{1}{8*x+9}^{3}dx,7
\int_{0}^{1}\sin(2*x+1)dx,7
\int_{0}^{1}\cos(3*x+2)dx,7
\int_{0}^{1}\sqrt[2]{4*x+3}dx,7
\int_{0}^{1}\sqrt[3]{5*x+4}dx,7
\int_{0}^{1}{6*x+5}^{2}dx,7
\int_{0}^{1}{7*x+6}^{3}dx,7
\int_{0}^{1}\sin(8*x+7)dx,7
\int_{0}^{1}\cos(2*x+8)dx,7
\int_{0}^{1}\sqrt[2]{3*x+9}dx,7
\int_{0}^{1}\sqrt[3]{4*x+1}dx,7
\int_{0}^{1}{5*x+2}^{2}dx,7
\int_{0}^{1}{6*x+3}^{3}dx,7
\int_{0}^{1}\sin(7*x+4)dx,7
\int_{0}^{1}\cos(8*x+5)dx,7
\int_{0}^{1}\sqrt[2]{2*x+6}dx,7
\int_{0}^{1}\sqrt[3]{3*x+7}dx,7
\int_{0}^{1}{4*x+8}^{2}dx,7
\int_{0}^{1}{5*x+9}^{3}dx,7
\int_{0}^{1}\sin(6*x+1)dx,7
\int_{0}^{1}\cos(7*x+2)dx,7
\int_{0}^{1}\sqrt[2]{8*x+3}dx,7
\int_{0}^{1}\sqrt[3]{2*x+4}dx,7
\int_{0}^{1}{3*x+5}^{2}dx,7
\int_{0}^{1}{4*x+6}^{3}dx,7
\int_{0}^{1}\sin(5*x+7)dx,7
\int_{0}^{1}\cos(6*x+8)dx,7
\int_{0}^{1}\sqrt[2]{7*x+9}dx,7
\int_{0}^{1}\sqrt[3]{8*x+1}dx,7
\int_{0}^{1}{2*x+2}^{2}dx,7
\int_{0}^{1}{3*x+3}^{3}dx,7
\int_{0}^{1}\sin(4*x+4)dx,7
\int_{0}^{1}\cos(5*x+5)dx,7
\int_{0}^{1}\sqrt[2]{6*x+6}dx,7
\int_{0}^{1}\sqrt[3]{7*x+7}dx,7
\int_{0}^{1}{8*x+8}^{2}dx,7
\int_{0}^{1}{2*x+9}^{3}dx,7
\int_{0}^{1}\sin(3*x+1)dx,7
\int_{0}^{1}\cos(4*x+2)dx,7
\int_{0}^{1}\sqrt[2]{5*x+3}dx,7
\int_{0}^{1}\sqrt[3]{6*x+4}dx,7
\int_{0}^{1}{7*x+5}^{2}dx,7
\int_{0}^{1}{8*x+6}^{3}dx,7
\int_{0}^{1}\sin(2*x+7)dx,7
\int_{0}^{1}\cos(3*x+8)dx,7
\int_{0}^{1}\sqrt[2]{4*x+9}dx,7
\int_{0}^{1}\sqrt[3]{5*x+1}dx,7
\int_{0}^{1}{6*x+2}^{2}dx,7
\int_{0}^{1}{7*x+3}^{3}dx,7
\int_{0}^{1}\sin(8*x+4)dx,7
\int_{0}^{1}\cos(2*x+5)dx,7
\int_{0}^{1}\sqrt[2]{3*x+6}dx,7
\int_{0}^{1}\sqrt[3]{4*x+7}dx,7
\int_{0}^{1}{5*x+8}^{2}dx,7
\int_{0}^{1}{6*x+9}^{3}dx,7
\int_{0}^{1}\sin(7*x+1)dx,7
\int_{0}^{1}\cos(8*x+2)dx,7
\int_{0}^{1}\sqrt[2]{2*x+3}dx,7
\int_{0}^{1}\sqrt[3]{3*x+4}dx,7
\int_{0}^{1}{4*x+5}^{2}dx,7
\int_{0}^{1}{5*x+6}^{3}dx,7
\int_{0}^{1}\sin(6*x+7)dx,7
\int_{0}^{1}\cos(7*x+8)dx,7
\int_{0}^{1}\sqrt[2]{8*x+9}dx,7
\int_{0}^{1}\sqrt[3]{2*x+1}dx,7
\int_{0}^{1}{3*x+2}^{2}dx,7
\int_{0}^{1}{4*x+3}^{3}dx,7
\int_{0}^{1}\sin(5*x+4)dx,7
\int_{0}^{1}\cos(6*x+5)dx,7
\int_{0}^{1}\sqrt[2]{7*x+6}dx,7
\int_{0}^{1}\sqrt[3]{8*x+7}dx,7
\int_{0}^{1}{2*x+8}^{2}dx,7
\int_{0}^{1}{3*x+9}^{3}dx,7
\int_{0}^{1}\sin(4*x+1)dx,7
\int_{0}^{1}\cos(5*x+2)dx,7
\int_{0}^{1}19*\tan{x}dx,1
\int_{0}^{1}\sqrt{x}+e^{x}dx,1
\int_{0}^{1}2*x-{x}^{2}dx,1
\int_{0}^{1}18*\sin{x}dx,1
\int_{0}^{1}8-xdx,1
\int_{0}^{1}x+\frac{1}{x}dx,1
\int_{0}^{1}14*\sqrt[3]{x}dx,1
\int_{0}^{1}20*{x+1}^{2}dx,1
\int_{0}^{1}{x}^{2}+\tan{x}dx,1
\int_{0}^{1}14*\sin{x}dx,1
\int_{0}^{1}12*\sqrt[3]{x}dx,1
\int_{0}^{1}12*{x}^{3}dx,1
\int_{0}^{1}12*{x}^{4}dx,1
\int_{0}^{1}5*\sin{x}dx,1
\int_{0}^{1}{x}^{2}+\sqrt[3]{x}dx,1
\int_{0}^{1}3*{x+1}^{2}dx,1
\int_{0}^{1}x+1dx,1
\int_{0}^{1}6*\sqrt{x}dx,1
\int_{0}^{1}2*8dx,1
\int_{0}^{1}18*\sqrt[3]{x}dx,1
\int_{0}^{1}2*x-xdx,1
\int_{0}^{1}8*2*xdx,1
\int_{0}^{1}\sqrt[3]{x}-\sqrt[3]{x}dx,1
\int_{0}^{1}\sin{x}-2*xdx,1
\int_{0}^{1}18*{x}^{3}dx,1
\int_{0}^{1}13*{x}^{2}dx,1
\int_{0}^{1}20*{x}^{3}dx,1
\int_{0}^{1}8*8dx,1
\int_{0}^{1}2*x+e^{x}dx,1
\int_{0}^{1}4*\sin{x}dx,1
\int_{0}^{1}14*{x+1}^{2}dx,1
\int_{0}^{1}4*e^{x}dx,1
\int_{0}^{1}\sin{x}+\sqrt[3]{x}dx,1
\int_{0}^{1}5*8dx,1
\int_{0}^{1}14*8dx,1
\int_{0}^{1}8-{x}^{4}dx,1
\int_{0}^{1}12*\sin{x}dx,1
\int_{0}^{1}{x}^{2}-{x}^{2}dx,1
\int_{0}^{1}17*8dx,1
\int_{0}^{1}\sqrt{x}+xdx,1
\int_{0}^{1}18*{x+1}^{2}dx,1
\int_{0}^{1}{x}^{2}+xdx,1
\int_{0}^{1}2*x-\sqrt{x}dx,1
\int_{0}^{1}{x}^{2}-{x}^{2}dx,1
\int_{0}^{1}{x+1}^{2}-2*xdx,1
\int_{0}^{1}16*e^{x}dx,1
\int_{0}^{1}1-\sqrt{x}dx,1
\int_{0}^{1}\sqrt{x}+8dx,1
\int_{0}^{1}6*{x}^{3}dx,1
\int_{0}^{1}7*2*xdx,1
\int_{0}^{1}11*2*xdx,1
\int_{0}^{1}4*e^{x}dx,1
\int_{0}^{1}\cos{x}+{x}^{4}dx,1
\int_{0}^{1}9*8dx,1
\int_{0}^{1}2*x+\sin{x}dx,1
\int_{0}^{1}\cos{x}+2*xdx,1
\int_{0}^{1}18*{x}^{2}dx,1
\int_{0}^{1}18*e^{x}dx,1
\int_{0}^{1}\sin{x}+xdx,1
\int_{0}^{1}x-\sin{x}dx,1
\int_{0}^{1}5*{x}^{4}dx,1
\int_{0}^{1}16*2*xdx,1
\int_{0}^{1}{x}^{2}-{x}^{3}dx,1
\int_{0}^{1}2*x+1dx,1
\int_{0}^{1}1+\sqrt{x}dx,1
\int_{0}^{1}20*\tan{x}dx,1
\int_{0}^{1}11*\sqrt[3]{x}dx,1
\int_{0}^{1}\sin{x}-\tan{x}dx,1
\int_{0}^{1}4*1dx,1
\int_{0}^{1}\sin{x}+\frac{1}{x}dx,1
\int_{0}^{1}12*\sqrt{x}dx,1
\int_{0}^{1}5*\frac{1}{x}dx,1
\int_{0}^{1}\tan{x}+{x}^{2}dx,1
\int_{0}^{1}6*\sqrt[3]{x}dx,1
\int_{0}^{1}2*{x}^{3}dx,1
\int_{0}^{1}8+8dx,1
\int_{0}^{1}9*{x+1}^{2}dx,1
\int_{0}^{1}\sin{x}+xdx,1
